record_id,report_date,campaign_id,campaign_name,campaign_objective,campaign_status,channel,platform,ad_format,product_family,product_name,region,country,city,device_type,audience_segment,planned_budget_usd,ad_spend_usd,creative_cost_usd,agency_cost_usd,marketing_tools_cost_usd,impressions,reach,video_views,engagements,clicks,landing_page_sessions,leads,add_to_cart,conversions,new_customers,returning_customers,units_sold,attributed_revenue_usd,email_sent,email_delivered,email_opens,email_clicks,unsubscribes,currency_code,source_system,source_file_name,batch_id,ingestion_timestamp
REC0016462,2026-01-16,CMP0047,Apple Watch Product Launch 2025 Wave 47,Product Launch,Completed,Instagram,Meta Ads Manager,Short Video,Apple Watch,Apple Watch,North America,United States,Chicago,Mobile,Premium Customers,406.61,461.87,26.89,41.48,6.83,51781,38719,31169,2102,1092,905,19,49,0,0,0,0,0.0,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20260116.csv,BATCH-META-20260116-01,2026-01-17 05:38:00
REC0023580,2025-11-20,CMP0067,iCloud+ Customer Retention 2025 Wave 67,Customer Retention,Completed,Retail Promotion,Retail Partner,Retail Display,iCloud+,iCloud+ 200GB,North America,United States,Seattle,Mobile,Business Users,76.67,318.09,27.18,14.56,7.89,26764,19357,0,602,422,350,8,24,8,1,7,8,22.85,0,0,0,0,0,USD,Retail Partner Feed,retail_partner_feed_20251120.csv,BATCH-RETA-20251120-03,2025-11-21 01:32:00
REC0023641,2026-01-20,CMP0067,iCloud+ Customer Retention 2025 Wave 67,Customer Retention,Completed,Retail Promotion,Retail Partner,Retail Display,iCloud+,iCloud+ 200GB,North America,United States,Seattle,Desktop,Business Users,58.26,91.93,4.96,7.45,1.25,5344,4338,0,155,57,45,3,5,3,1,2,3,5.36,0,0,0,0,0,USD,Retail Partner Feed,retail_partner_feed_20260120.csv,BATCH-RETA-20260120-01,2026-01-21 01:12:00
REC0025636,2025-07-03,CMP0073,iPhone Product Launch 2025 Wave 73,Product Launch,Cancelled,X,Affiliate Network,Static Image,iPhone,iPhone Pro,Europe,United Kingdom,Manchester,Desktop,Business Users,240.21,208.42,11.91,10.39,5.87,44185,37046,0,1407,508,404,25,40,0,0,0,0,0.0,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250703.csv,BATCH-AFFI-20250703-01,2025-07-04 02:05:00
REC0008841,2025-07-21,CMP0026,AppleCare+ Service Subscription 2025 Wave 26,Service Subscription,Completed,X,Affiliate Network,Sponsored Post,AppleCare+,AppleCare+ Protection,Asia Pacific,India,Bengaluru,Desktop,Price-Sensitive Customers,66.65,65.53,4.23,4.12,2.04,11975,10596,0,216,148,117,7,13,0,0,0,0,0.0,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250721.csv,BATCH-AFFI-20250721-03,2025-07-22 05:26:00
REC0002901,2025-09-01,CMP0008,Mac Product Launch 2024 Wave 08,Product Launch,Completed,Organic Social,Internal Email Platform,Short Video,Mac,MacBook Pro,North America,United States,Chicago,Desktop,Premium Customers,69.1,72.68,4.95,6.0,2.0,69359,60605,34997,3126,1402,1188,34,80,4,4,0,4,7392.41,0,0,0,0,0,USD,CRM Export,crm_export_20250901.csv,BATCH-CRME-20250901-03,2025-09-02 03:08:00
REC0007881,2025-04-10,CMP0023,iPhone Brand Awareness 2024 Wave 23,Brand Awareness,Completed,LinkedIn,LinkedIn Campaign Manager,Sponsored Post,iPhone,iPhone Standard,North America,United States,Chicago,Tablet,Existing Customers,132.81,144.02,5.21,16.05,4.86,7354,6033,0,168,89,63,4,2,0,0,0,0,0.0,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250410.csv,BATCH-ECOM-20250410-03,2025-04-11 02:57:00
REC0034486,2025-08-08,CMP0097,Mac Brand Awareness 2025 Wave 97,Brand Awareness,Completed,Email Marketing,Internal Email Platform,Email Newsletter,Mac,MacBook Pro,North America,United States,Chicago,Mobile,Price-Sensitive Customers,90.24,93.74,4.55,7.57,3.38,30774,24858,0,2297,951,790,26,40,0,0,0,0,0.0,37086,36160,15421,951,76,USD,Email Marketing Platform,email_marketing_platform_20250808.csv,BATCH-EMAI-20250808-01,2025-08-09 04:10:00
REC0018770,2025-11-28,CMP0053,Apple Fitness+ Service Subscription 2025 Wave 53,Service Subscription,Completed,Organic Social,Internal Email Platform,Static Image,Apple Fitness+,Apple Fitness+ Subscription,Asia Pacific,Japan,Yokohama,Mobile,Young Professionals,15.0,16.22,1.13,1.35,0.59,13119,9018,0,716,450,360,22,25,5,1,4,5,47.69,0,0,0,0,0,USD,CRM Export,crm_export_20251128.csv,BATCH-CRME-20251128-02,2025-11-29 05:24:00
REC0003069,2025-07-12,CMP0009,iPad Brand Awareness 2025 Wave 09,Brand Awareness,Active,YouTube,YouTube Ads,Long Video,iPad,iPad Pro,Asia Pacific,Australia,Sydney,Mobile,New Technology Buyers,447.63,527.68,44.03,51.41,10.46,44062,25971,12935,1030,559,473,15,42,0,0,0,0,0.0,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250712.csv,BATCH-GOOG-20250712-03,2025-07-13 02:39:00
REC0015918,2025-06-26,CMP0046,iPhone Product Launch 2025 Wave 46,Product Launch,Completed,Apple Search Ads,Apple Search Ads,Search Ad,iPhone,iPhone Pro,Europe,Germany,Berlin,Desktop,Creative Professionals,667.99,705.39,62.65,32.97,14.64,30259,20397,0,3657,1730,1488,83,52,0,0,0,0,0.0,0,0,0,0,0,USD,Apple Search Ads API,apple_search_ads_api_20250626.csv,BATCH-APPL-20250626-03,2025-06-27 04:45:00
REC0007979,2025-07-17,CMP0023,iPhone Brand Awareness 2024 Wave 23,Brand Awareness,Completed,LinkedIn,LinkedIn Campaign Manager,Sponsored Post,iPhone,iPhone Standard,North America,United States,Chicago,Mobile,Unknown,129.42,257.0,17.67,20.68,3.61,10426,8510,0,173,122,106,3,7,3,2,1,3,2441.33,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20250717.csv,BATCH-ECOM-20250717-02,2025-07-18 03:10:00
REC0020372,2025-01-04,CMP0058,AppleCare+ App Engagement 2024 Wave 58,App Engagement,Completed,Google Search,Google Ads,Search Ad,AppleCare+,AppleCare+ Protection,North America,United States,Los Angeles,Mobile,Business Users,167.74,184.65,12.26,21.09,4.08,8156,4824,0,1326,484,373,15,37,3,2,1,4,607.85,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250104.csv,BATCH-GOOG-20250104-02,2025-01-05 02:47:00
REC0013459,2025-04-17,CMP0039,Apple TV+ Online Sales 2024 Wave 39,Online Sales,Active,Affiliate Marketing,Affiliate Network,Display Banner,Apple TV+,Apple TV+ Subscription,Europe,France,Marseille,Desktop,Price-Sensitive Customers,37.86,37.64,2.32,3.03,0.53,5012,3122,0,229,136,119,8,7,1,1,0,1,9.73,0,0,0,0,0,USD,Affiliate Network,affiliate_network_20250417.csv,BATCH-AFFI-20250417-01,2025-04-18 04:22:00
REC0006789,2025-02-16,CMP0020,AppleCare+ Service Subscription 2025 Wave 20,Service Subscription,Completed,Google Display,Google Ads,Static Image,AppleCare+,AppleCare+ Protection,Asia Pacific,India,Mumbai,Unknown,Existing Customers,188.01,183.44,14.8,17.04,4.33,23250,18269,0,673,257,200,10,15,0,0,0,0,0.0,0,0,0,0,0,USD,Google Ads API,google_ads_api_20250216.csv,BATCH-GOOG-20250216-03,2025-02-17 03:13:00
REC0010931,2024-09-16,CMP0032,AppleCare+ Service Subscription 2024 Wave 32,Service Subscription,Completed,TikTok,TikTok Ads,Sponsored Post,AppleCare+,AppleCare+ Protection,Europe,Germany,Berlin,Desktop,Business Users,165.58,172.1,10.13,16.31,2.34,26503,17685,0,1596,668,483,14,22,3,3,0,3,258.1,0,0,0,0,0,USD,Ecommerce Platform,ecommerce_platform_20240916.csv,BATCH-ECOM-20240916-02,2024-09-17 04:38:00
REC0004999,2025-03-07,CMP0014,iPad Website Traffic 2024 Wave 14,Website Traffic,Completed,Facebook,Meta Ads Manager,Short Video,iPad,iPad,Asia Pacific,India,Delhi,Mobile,Students,181.3,175.93,9.64,17.46,4.23,19554,15813,10486,683,293,233,6,25,0,0,0,0,0.0,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20250307.csv,BATCH-META-20250307-01,2025-03-08 04:13:00
REC0014172,2025-08-18,CMP0041,Apple Arcade Online Sales 2025 Wave 41,Online Sales,Planned,Facebook,Meta Ads Manager,Static Image,Apple Arcade,Apple Arcade Subscription,Europe,Spain,Madrid,Desktop,Existing Customers,92.25,109.63,4.62,7.43,3.84,15210,9685,0,650,274,238,11,9,0,0,0,0,0.0,0,0,0,0,0,USD,Meta Ads API,meta_ads_api_20250818.csv,BATCH-META-20250818-03,2025-08-19 01:44:00
